,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
0,TRYNEW,330114.0,2022-09-26,2023-03-31,310.0,56654.409999999996,30488.38,182.75616129032258,310.0,0.0,0.0
1,TRYNEW,180801.0,2023-01-02,2023-03-31,915.0,250465.07600000003,25688.033999999996,273.7323234972677,915.0,0.0,0.0
2,TRYNEW,445384.0,2022-09-26,2023-03-31,143.0,29188.28,14044.629999999997,204.1138461538461,143.0,0.0,0.0
3,TRYNEW,4780.0,2023-01-02,2023-05-31,177.0,48612.850000000006,10163.05,274.6488700564972,177.0,0.0,0.0
4,TRYNEW,231392.0,2022-09-26,2023-03-31,80.0,16466.69,6189.43,205.83362499999998,80.0,0.0,0.0
5,TRYNEW,180796.0,2022-09-26,2023-03-31,58.0,9861.09,5768.48,170.01879310344827,58.0,0.0,0.0
6,TRYNEW,570269.0,2022-12-22,2023-03-31,66.0,11982.330000000002,5093.39,181.55045454545456,66.0,0.0,0.0
7,TRYNEW,313834.0,2022-12-22,2023-03-31,54.0,13295.2,4263.9,246.20740740740743,54.0,0.0,0.0
8,TRYNEW,408.0,2022-09-26,2023-03-31,40.0,9676.67,3944.12,241.91674999999995,40.0,0.0,0.0
9,TRYNEW,570268.0,2022-10-04,2023-03-31,22.0,2476.9500000000003,2426.38,112.58863636363635,22.0,0.0,0.0
10,TRYNEW,600278.0,2022-12-29,2023-01-12,17.0,3128.52,1087.46,184.03058823529412,17.0,0.0,0.0
11,TRYNEW,444423.0,2022-12-22,2023-03-31,9.0,1395.4599999999998,1043.99,155.0511111111111,9.0,0.0,0.0
12,SWIGGYIT,180801.0,2023-01-02,2023-03-31,814.0,222498.8,18684.51,273.3400491400492,0.0,814.0,0.0
13,SWIGGYIT,330114.0,2022-09-26,2023-03-31,205.0,37312.649999999994,16105.120000000003,182.0129268292683,1.0,204.0,0.0
14,SWIGGYIT,4780.0,2023-01-02,2023-05-31,389.0,113555.31000000001,15248.050000000001,291.9159640102828,0.0,389.0,2.0
15,SWIGGYIT,445384.0,2022-09-26,2023-03-31,142.0,32594.230000000003,11190.860000000002,229.53683098591551,0.0,142.0,0.0
16,SWIGGYIT,408.0,2022-09-26,2023-03-31,76.0,19685.140000000003,5993.24,259.01499999999993,0.0,76.0,0.0
17,SWIGGYIT,444423.0,2022-12-22,2023-03-31,15.0,2580.29,1797.58,172.01933333333332,0.0,15.0,0.0
18,SWIGGYIT,231392.0,2022-09-26,2023-03-31,46.0,14818.329999999998,1680.3000000000002,322.13760869565215,0.0,46.0,0.0
19,SWIGGYIT,313834.0,2022-12-22,2023-03-31,18.0,3037.23,1296.4000000000003,168.735,0.0,18.0,0.0
20,SWIGGYIT,570269.0,2022-12-22,2023-03-31,15.0,3064.4300000000003,1162.78,204.29533333333333,0.0,15.0,0.0
21,SWIGGYIT,180796.0,2022-09-26,2023-03-31,9.0,2479.07,719.98,275.45222222222225,0.0,9.0,0.0
22,SWIGGYIT,600278.0,2022-12-29,2023-01-12,5.0,923.16,187.8,184.632,0.0,5.0,0.0
23,SWIGGYIT,570268.0,2022-10-04,2023-03-31,1.0,110.17000000000002,63.6,110.17000000000002,0.0,1.0,0.0
24,SwiggyOne EO,180801.0,-,-,450.0,196995.206,19023.910000000003,437.7671244444444,179.0,271.0,42.0
25,SwiggyOne EO,4780.0,-,-,179.0,99586.34,9776.960000000001,556.3482681564246,43.0,136.0,25.0
26,SwiggyOne EO,231392.0,-,-,27.0,15527.91,1561.89,575.1077777777778,5.0,22.0,5.0
27,SwiggyOne EO,408.0,-,-,11.0,8455.08,863.0,768.6436363636363,6.0,5.0,3.0
28,MISSEDYOU,4780.0,2023-01-02,2023-05-31,153.0,41070.31,9088.39,268.4333986928105,0.0,153.0,106.0
29,MISSEDYOU,180801.0,2023-01-02,2023-03-31,222.0,61121.52399999999,5607.276000000001,275.32218018018017,0.0,222.0,159.0
30,MISSEDYOU,330114.0,2022-09-26,2023-03-31,39.0,6103.7,3817.95,156.5051282051282,0.0,39.0,18.0
31,MISSEDYOU,408.0,2022-09-26,2023-03-31,32.0,8475.01,3141.56,264.84406249999995,0.0,32.0,27.0
32,MISSEDYOU,445384.0,2022-09-26,2023-03-31,31.0,6387.18,3083.96,206.03806451612905,0.0,31.0,19.0
33,MISSEDYOU,231392.0,2022-09-26,2023-03-31,30.0,8369.999999999998,2100.57,279.0,0.0,30.0,21.0
34,MISSEDYOU,180796.0,2022-09-26,2023-03-31,5.0,866.2499999999999,500.0,173.24999999999997,0.0,5.0,2.0
35,MISSEDYOU,570269.0,2022-12-22,2023-03-31,6.0,1151.99,479.58000000000004,191.99833333333333,0.0,6.0,2.0
36,MISSEDYOU,313834.0,2022-12-22,2023-03-31,2.0,413.48999999999995,147.2,206.74499999999998,0.0,2.0,0.0
37,MISSEDYOU,444423.0,2022-12-22,2023-03-31,1.0,370.65999999999997,119.99,370.65999999999997,0.0,1.0,0.0
38,MISSEDYOU,570268.0,2022-10-04,2023-03-31,1.0,89.38,113.4,89.38,0.0,1.0,0.0
39,MISSEDYOU,600278.0,2022-12-29,2023-01-12,1.0,176.4,63.0,176.4,0.0,1.0,1.0
40,PARTY,330114.0,2022-09-26,2023-03-31,29.0,19153.489999999998,4356.579999999999,660.4651724137931,21.0,8.0,1.0
41,PARTY,408.0,2022-09-26,2023-03-31,20.0,17922.64,4227.82,896.132,10.0,10.0,3.0
42,PARTY,313834.0,2022-12-22,2023-03-31,22.0,12737.019999999999,3853.5,578.9554545454546,20.0,2.0,0.0
43,PARTY,445384.0,2022-09-26,2023-03-31,19.0,14328.11,3260.18,754.1110526315789,11.0,8.0,1.0
44,PARTY,231392.0,2022-09-26,2023-03-31,14.0,11901.839999999998,2691.92,850.1314285714286,5.0,9.0,3.0
45,PARTY,180796.0,2022-09-26,2023-03-31,4.0,3271.5899999999997,725.2,817.8974999999999,3.0,1.0,0.0
46,PARTY,600278.0,2022-10-04,2023-03-31,4.0,1964.83,571.73,491.2075,4.0,0.0,0.0
47,PARTY,570269.0,2022-12-22,2023-03-31,2.0,939.97,272.99,469.985,2.0,0.0,0.0
48,PARTY,180801.0,2023-01-02,2023-03-31,2.0,2461.54,199.68,1230.77,2.0,0.0,0.0
49,PARTY,4780.0,2023-01-02,2023-03-31,1.0,1113.6299999999999,113.4,1113.6299999999999,1.0,0.0,0.0
50,PARTY,444423.0,2022-12-22,2023-03-31,0.0,,0.0,,0.0,0.0,0.0
51,FLATDEAL,4780.0,2023-01-11,2024-03-31,92.0,70855.95999999999,7934.08,770.1734782608695,17.0,75.0,10.0
52,FLATDEAL,180801.0,2023-01-11,2024-03-31,100.0,80399.822,6580.727999999999,803.9982199999998,50.0,50.0,16.0
53,GUILTFREEJAN,4780.0,2023-01-15,2023-01-31,22.0,8492.12,1598.2700000000002,386.0054545454546,5.0,17.0,5.0
54,FLAT150,444423.0,2023-01-01,2023-01-15,3.0,878.8699999999999,449.98,292.95666666666665,2.0,1.0,0.0
55,CITIFOODIE,4780.0,2023-01-01,2023-01-29,1.0,1571.51,35.31999999999999,1571.51,0.0,1.0,0.0
56,APOLOGY150,600278.0,2023-01-04,2023-02-03,0.0,,0.0,,0.0,0.0,0.0
57,AUDC100,180801.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
58,AUDC100,231392.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
59,AXIS200,313834.0,2023-01-16,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
60,AXISFKNEW,180801.0,2022-09-24,2022-03-08,0.0,,0.0,,0.0,0.0,0.0
